"DT","EnDemProfile"
2017-05-15 04:00:00,4349.24293603706
2017-05-15 04:01:00,4349.24293603706
2017-05-15 04:02:00,4349.24293603706
2017-05-15 04:03:00,4349.24293603706
2017-05-15 04:04:00,4349.24293603706
2017-05-15 04:05:00,4349.24293603706
2017-05-15 04:06:00,4349.24293603706
2017-05-15 04:07:00,4349.24293603706
2017-05-15 04:08:00,4349.24293603706
2017-05-15 04:09:00,4365.70898304388
2017-05-15 04:10:00,4359.76873281819
2017-05-15 04:11:00,4359.76873281819
2017-05-15 04:12:00,4359.76873281819
2017-05-15 04:13:00,4359.76873281819
2017-05-15 04:14:00,4359.76873281819
2017-05-15 04:15:00,4359.76873281819
2017-05-15 04:16:00,4359.76873281819
2017-05-15 04:17:00,4359.76873281819
2017-05-15 04:18:00,4359.76873281819
2017-05-15 04:19:00,4365.6989869992
2017-05-15 04:20:00,4349.50850517197
2017-05-15 04:21:00,4349.50850517197
2017-05-15 04:22:00,4349.50850517197
2017-05-15 04:23:00,4349.50850517197
2017-05-15 04:24:00,4349.50850517197
2017-05-15 04:25:00,4349.50850517197
2017-05-15 04:26:00,4349.50850517197
2017-05-15 04:27:00,4349.50850517197
2017-05-15 04:28:00,4349.50850517197
2017-05-15 04:29:00,4365.82869827233
2017-05-15 04:30:00,4357.66679957725
2017-05-15 04:31:00,4357.66679957725
2017-05-15 04:32:00,4357.66679957725
2017-05-15 04:33:00,4357.66679957725
2017-05-15 04:34:00,4357.66679957725
2017-05-15 04:35:00,4357.66679957725
2017-05-15 04:36:00,4357.66679957725
2017-05-15 04:37:00,4357.66679957725
2017-05-15 04:38:00,4357.66679957725
2017-05-15 04:39:00,4368.57435663966
2017-05-15 04:40:00,4361.98345348262
2017-05-15 04:41:00,4361.98345348262
2017-05-15 04:42:00,4361.98345348262
2017-05-15 04:43:00,4361.98345348262
2017-05-15 04:44:00,4361.98345348262
2017-05-15 04:45:00,4361.98345348262
2017-05-15 04:46:00,4361.98345348262
2017-05-15 04:47:00,4361.98345348262
2017-05-15 04:48:00,4361.98345348262
2017-05-15 04:49:00,4390.32319162062
2017-05-15 04:50:00,4377.93364123963
2017-05-15 04:51:00,4377.93364123963
2017-05-15 04:52:00,4377.93364123963
2017-05-15 04:53:00,4377.93364123963
2017-05-15 04:54:00,4377.93364123963
2017-05-15 04:55:00,4377.93364123963
2017-05-15 04:56:00,4377.93364123963
2017-05-15 04:57:00,4377.93364123963
2017-05-15 04:58:00,4377.93364123963
